Revenue	MarketCap	Exchange
5190582.0	2531369.0	New York Stock Exchange (NYSE)
21639.0	50283.0	NASDAQ National Market
532214.0	434451.0	NASDAQ National Market
487635.0	359004.0	NASDAQ National Market
11000.0	1010387.0	New York Stock Exchange (NYSE)
904280.0	3572721.0	New York Stock Exchange (NYSE)
383828.0	70460.0	New York Stock Exchange (NYSE)
6069497.0	867192.0	New York Stock Exchange (NYSE)
2729600.0	4872003.0	NASDAQ National Market
151314.0	381836.0	New York Stock Exchange (NYSE)
1747.0	7479.0	NASDAQ National Market
10776000.0	31598792.0	New York Stock Exchange (NYSE)
3763971.0	3091142.0	NASDAQ National Market
754600.0	931626.0	New York Stock Exchange (NYSE)
3551200.0	2376904.0	New York Stock Exchange (NYSE)
3322487.0	2867612.0	NASDAQ National Market
88199.0	74778.0	NASDAQ National Market
2052230.0	13883487.0	New York Stock Exchange (NYSE)
61.0	4029735.0	NASDAQ National Market
618838.0	7616931.0	New York Stock Exchange (NYSE)
39738.0	7404.0	NASDAQ National Market
89890.0	25674.0	NASDAQ National Market
1363302.0	4059193.0	New York Stock Exchange (NYSE)
4225100.0	682024.0	New York Stock Exchange (NYSE)
1674291.0	494675.0	New York Stock Exchange (NYSE)
59676.0	57370.0	NASDAQ National Market
1463065.0	1734005.0	New York Stock Exchange (NYSE)
38686.0	83032.0	NASDAQ National Market
67656.0	42282.0	NASDAQ National Market
5817000.0	6053564.0	New York Stock Exchange (NYSE)
9223987.0	63190932.0	NASDAQ National Market
6693.0	11952.0	NASDAQ National Market
3105.0	56178.0	NASDAQ National Market
24817.0	351874.0	NASDAQ National Market
350000.0	306377.0	NASDAQ National Market
214386.0	278287.0	NASDAQ National Market
100854.0	846367.0	NASDAQ National Market
578831.0	1596327.0	NASDAQ National Market
462800.0	213730.0	New York Stock Exchange (NYSE)
3158.0	19578.0	NASDAQ National Market
2541672.0	1257343.0	NASDAQ National Market
1613178.0	341837.0	NASDAQ National Market
20071.0	163897.0	NASDAQ National Market
88775.0	75336.0	NASDAQ National Market
1506200.0	572756.0	New York Stock Exchange (NYSE)
86790.0	134354.0	NASDAQ National Market
8587.0	28756.0	NASDAQ National Market
18910.0	108651.0	NASDAQ National Market
971975.0	869725.0	New York Stock Exchange (NYSE)
210317.0	256862.0	NASDAQ National Market
14006.0	78701.0	NASDAQ National Market
546951.0	660043.0	NASDAQ National Market
162086.0	323350.0	New York Stock Exchange (NYSE)
17500.0	26524.0	NASDAQ National Market
238046.0	541609.0	NYSE MKT
23282020.0	5873891.0	New York Stock Exchange (NYSE)
137928.0	177744.0	NASDAQ National Market
27924657.0	5221574.0	New York Stock Exchange (NYSE)
2016032.0	790247.0	New York Stock Exchange (NYSE)
76564.0	85464.0	NASDAQ National Market
30755.0	28557.0	NYSE MKT
2007.0	97378.0	NASDAQ National Market
6718726.0	2886315.0	New York Stock Exchange (NYSE)
307289.0	376416.0	NASDAQ National Market
22205.0	37701.0	NASDAQ National Market
301711.0	551092.0	NASDAQ National Market
44884.0	7044.0	NYSE MKT
687121.0	452063.0	New York Stock Exchange (NYSE)
118154.0	22798.0	NASDAQ National Market
12103887.0	6939202.0	NASDAQ National Market
77762.0	114976.0	NASDAQ National Market
10780400.0	20477275.0	New York Stock Exchange (NYSE)
69051.0	96208.0	NASDAQ National Market
6070234.0	111392.0	NASDAQ National Market
379197.0	366926.0	NASDAQ National Market
100203.0	56398.0	NYSE MKT
6155297.0	5488450.0	New York Stock Exchange (NYSE)
637940.0	2950490.0	NASDAQ National Market
38965.0	44211.0	NASDAQ National Market
9255.0	27705.0	NASDAQ National Market
29520.0	43511.0	NYSE MKT
84364.0	478366.0	NASDAQ National Market
587670.0	206240.0	NASDAQ National Market
112500.0	304716.0	New York Stock Exchange (NYSE)
80199.0	49519.0	NASDAQ National Market
108666.0	522367.0	NASDAQ National Market
89450.0	147335.0	NASDAQ National Market
0.0	214631.0	NYSE MKT
477038.0	713602.0	NASDAQ National Market
88373.0	11424.0	NASDAQ National Market
16565.0	54278.0	NYSE MKT
22750.0	256216.0	NASDAQ National Market
1121506.0	289266.0	NASDAQ National Market
1280541.0	1693319.0	NASDAQ National Market
10629719.0	14263138.0	NASDAQ National Market
356974.0	439314.0	NASDAQ National Market
99375.0	193562.0	NASDAQ National Market
394885.0	1610338.0	New York Stock Exchange (NYSE)
1130266.0	2075548.0	NASDAQ National Market
175000.0	609809.0	NASDAQ National Market
7015.0	16775.0	NYSE MKT
1854700.0	341119.0	New York Stock Exchange (NYSE)
2910379.0	3609651.0	New York Stock Exchange (NYSE)
112500.0	700405.0	NASDAQ National Market
110733.0	685007.0	New York Stock Exchange (NYSE)
6509743.0	7703291.0	New York Stock Exchange (NYSE)
4001.0	32575.0	NASDAQ National Market
26392.0	40118.0	NYSE MKT
0.0	64165.0	NYSE MKT
895072.0	973478.0	New York Stock Exchange (NYSE)
11321.0	6496.0	NASDAQ National Market
474216.0	1359947.0	NASDAQ National Market
1266549.0	730982.0	New York Stock Exchange (NYSE)
347005.0	2261675.0	New York Stock Exchange (NYSE)
68428.0	44764.0	NYSE MKT
75974.0	290342.0	New York Stock Exchange (NYSE)
1164419.0	946030.0	New York Stock Exchange (NYSE)
112500.0	395504.0	NASDAQ National Market
62500.0	70737.0	NASDAQ National Market
6160500.0	1683604.0	New York Stock Exchange (NYSE)
2205683.0	3729038.0	New York Stock Exchange (NYSE)
81741000.0	146720566.0	New York Stock Exchange (NYSE)
22365000.0	17306328.0	New York Stock Exchange (NYSE)
7613800.0	9541027.0	New York Stock Exchange (NYSE)
5313000.0	29494962.0	New York Stock Exchange (NYSE)
1760913.0	4713911.0	New York Stock Exchange (NYSE)
1579215.0	1911733.0	New York Stock Exchange (NYSE)
8020300.0	7661552.0	New York Stock Exchange (NYSE)
3023189.0	10310192.0	New York Stock Exchange (NYSE)
15134400.0	19647652.0	New York Stock Exchange (NYSE)
63056000.0	147272759.0	New York Stock Exchange (NYSE)
31469000.0	43747252.0	New York Stock Exchange (NYSE)
16034000.0	63038116.0	New York Stock Exchange (NYSE)
748591.0	358357.0	NASDAQ National Market
16439276.0	15384567.0	New York Stock Exchange (NYSE)
2854400.0	3753866.0	New York Stock Exchange (NYSE)
313044.0	248227.0	New York Stock Exchange (NYSE)
350000.0	59645.0	NASDAQ National Market
30014.0	11154.0	NASDAQ National Market
2740500.0	3337849.0	New York Stock Exchange (NYSE)
1104514.0	3338206.0	NASDAQ National Market
757498.0	70516.0	NASDAQ National Market
367422.0	273774.0	NASDAQ National Market
552492.0	1890684.0	NASDAQ National Market
45910000.0	65261968.0	New York Stock Exchange (NYSE)
1774449.0	1972254.0	New York Stock Exchange (NYSE)
594923.0	363974.0	New York Stock Exchange (NYSE)
544874.0	4936116.0	New York Stock Exchange (NYSE)
30000000.0	45528283.0	New York Stock Exchange (NYSE)
30000000.0	6511074.0	New York Stock Exchange (NYSE)
7405000.0	5363943.0	New York Stock Exchange (NYSE)
21813000.0	69780618.0	New York Stock Exchange (NYSE)
57403.0	7454.0	NASDAQ National Market
964506.0	13765.0	NYSE MKT
7500000.0	21853040.0	New York Stock Exchange (NYSE)
1048.0	31974.0	NYSE MKT
235008.0	2081649.0	New York Stock Exchange (NYSE)
3521848.0	2831003.0	New York Stock Exchange (NYSE)
155542.0	161380.0	NASDAQ National Market
