Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
ADESTO TECHNOLOGIES CORPORATION	US161755067	0.0	114	NASDAQ National Market	Industrial company	4.698439841603031	4.730636948367264	4.636086515103073	US
ADMA BIOLOGICS, INC.	US562590442	0.25	17	NASDAQ National Market	Industrial company	4.375041441672926	4.978203349906158	3.8560639533331	US
ADOBE SYSTEMS INC	US770019522	15.4	1	NASDAQ National Market	Industrial company	7.069167407940791	7.699759571834427	6.6808349820810475	US
ADTRAN INC	US630918200	19.75	1	NASDAQ National Market	Industrial company	5.801338526649158	5.973469148844433	5.778198296404236	US
ADURO BIOTECH, INC.	US943348934	4.4	7	NASDAQ National Market	Industrial company	5.682890231427927	5.878870354994407	4.863203859028629	US
ADVANCE AUTO PARTS, INC.	US542049910	17.87	1	New York Stock Exchange (NYSE)	Industrial company	6.910334387164322	7.060490953616073	6.988426017452858	US
ADVANCED DRAINAGE SYSTEMS, INC.	US510105665	5.9	6	New York Stock Exchange (NYSE)	Industrial company	6.017742664161498	6.125407738463349	6.0719092418688305	US
ADVANCED ENERGY INDUSTRIES INC	US840846841	19.31	1	NASDAQ National Market	Industrial company	5.665289174675848	6.1755448625538065	5.617851311502926	US
ADVANCED MICRO DEVICES INC	US941692300	18.05	1	NASDAQ National Market	Industrial company	6.489114510200713	6.562315708935235	6.6010818366024715	US
ADVAXIS, INC.	US020563870	13.32	4	NASDAQ National Market	Industrial company	5.077756597481922	5.488941123994439	0.0	US
ADVISORY BOARD COMPANY (THE)	US521468699	14.24	1	NASDAQ National Market	Industrial company	6.296550679348291	6.122448204639102	5.885558530378043	US
AECOM	US611088522	16.5	1	New York Stock Exchange (NYSE)	Industrial company	7.146571379081978	6.692777144660363	7.255028290570994	US
AEGERION PHARMACEUTICALS, INC.	US202960116	16.68	3	NASDAQ National Market	Industrial company	5.637688818899649	4.729917670065806	5.380008523648823	US
AEGION CORP	US133032158	19.75	1	NASDAQ National Market	Industrial company	6.098302385050365	5.839869427353466	6.125016142701086	US
AEGLEA BIOTHERAPEUTICS, INC.	US464312787	0.0	106	NASDAQ National Market	Industrial company	4.587205677606586	4.987228175119319	3.7843319480221482	US
AEHR TEST SYSTEMS	US942424084	0.76	11	NASDAQ National Market	Industrial company	4.172281761455	4.156851901070011	4.000824376605605	US
AEMETIS, INC.	US840925128	1.61	5	NASDAQ National Market	Industrial company	4.919820467349853	4.670088067872248	5.166282067316571	US
AEP INDUSTRIES INC	US221916107	9.419999999999998	3	NASDAQ National Market	Industrial company	5.643655957683783	5.48118455511733	6.057434824259872	US
AERIE PHARMACEUTICALS, INC.	US203109565	11.34	3	NASDAQ National Market	Industrial company	5.201746604383089	5.657727819565011	0.0	US
AEROCENTURY CORP	US943263974	0.0	109	NYSE MKT	Industrial company	5.257740955231639	4.179752806897498	4.424309820245756	US
AEROHIVE NETWORKS, INC.	US204524700	2.48	14	New York Stock Exchange (NYSE)	Industrial company	5.169242275345863	5.500361364571663	5.180871051650544	US
AEROJET ROCKETDYNE HOLDINGS, INC.	US340244000	19.94	1	New York Stock Exchange (NYSE)	Industrial company	6.308543285207642	6.049757840802193	6.23256439511283	US
AEROVIRONMENT, INC.	US952705790	17.52	1	NASDAQ National Market	Industrial company	5.599302169513636	5.836618399264893	5.413968297517841	US
AES CORPORATION	US541163725	24.76	1	New York Stock Exchange (NYSE)	Industrial company	7.5619357752220475	6.864600244665242	7.175018704961187	US
AETHLON MEDICAL, INC.	US133632859	0.72	10	NASDAQ National Market	Industrial company	3.1405080430381798	4.585393041977091	2.8825245379548803	US
AETNA INC	US232229683	20.35	1	New York Stock Exchange (NYSE)	Insurance company	7.72773722275891	7.598850133380552		US
AFFILIATED MANAGERS GROUP INC	US043218510	18.81	1	New York Stock Exchange (NYSE)	Bank		6.967614285303137	6.477121399484465	US
