Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
INOTEK PHARMACEUTICALS CORPORATION	US043475813	8.23	4	NASDAQ National Market	Industrial company	5.0543142307027855	5.342051397785042	0.0	US
INOVALON HOLDINGS, INC.	US471830316	2.3400000000000003	6	NASDAQ National Market	Industrial company	6.046447557119178	6.097534600281141	5.640751668895701	US
INOVIO PHARMACEUTICALS, INC.	US330969592	13.67	1	NASDAQ National Market	Industrial company	5.3300930075933275	5.889615961945286	4.608237120972169	US
INPHI CORPORATION	US770557980	13.19	1	New York Stock Exchange (NYSE)	Industrial company	5.7033317957243055	6.099081951744654	5.392023010425653	US
INSIGHT ENTERPRISES INC	US860766246	19.55	1	NASDAQ National Market	Industrial company	6.3040633476802315	6.000569420901773	6.730224195949893	US
INSIGNIA SYSTEMS INC	US411656308	7.86	4	NASDAQ National Market	Industrial company	4.501264715733482	4.430397591386967	4.450433875172564	US
INSMED INC	US541972729	14.420000000000002	3	NASDAQ National Market	Industrial company	5.552128967025712	5.864521167015307	0.0	US
INSPERITY, INC.	US760479645	18.83	1	New York Stock Exchange (NYSE)	Industrial company	5.894821522077963	6.182427778087826	6.415576764943307	US
INSPIREMD, INC.	US262123838	0.51	12	NYSE MKT	Industrial company	3.7554174628109362	3.6737579365495767	3.3637999454791094	US
INSTALLED BUILDING PRODUCTS, INC.	US453707650	9.57	4	New York Stock Exchange (NYSE)	Industrial company	5.5723754800453476	6.0165143815262	5.821330077213359	US
INSTEEL INDUSTRIES INC	US560674867	11.09	1	NASDAQ National Market	Industrial company	5.4153740502737975	5.707616157785268	5.650797892077134	US
INSTITUTIONAL FINANCIAL MARKETS, INC.	US161685692	2.26	6	NYSE MKT	Financial company	5.489713856369641	3.985067033150501	4.664237573852493	US
INSTRUCTURE, INC.	US263505687	1.5	22	New York Stock Exchange (NYSE)	Industrial company	5.083004256993419	5.679918245254395	4.864475481691029	US
INSULET CORPORATION	US043523891	15.38	1	NASDAQ National Market	Industrial company	5.43953321262022	6.237383612802581	5.510847838408156	US
INSYS THERAPEUTICS INC.	US510327886	8.47	4	NASDAQ National Market	Industrial company	5.54555079741342	6.057621607362128	5.51956287515019	US
INTEGRA LIFESCIENCES HOLDINGS CORP	US510317849	14.9	3	NASDAQ National Market	Industrial company	6.249126172872987	6.439349275666648	5.945830346487101	US
INTEGRATED DEVICE TECHNOLOGY INC	US942669985	21.45	1	NASDAQ National Market	Industrial company	6.041072768692391	6.491780236026393	5.843467619928687	US
INTEGRATED ELECTRICAL SERVICES INC	US760542208	0.68	11	NASDAQ National Market	Industrial company	5.355472592572055	5.4805286456950375	5.758804440401742	US
INTEL CORP	US941672743	16.299999999999994	1	NASDAQ National Market	Industrial company	8.006290581790537	8.172977407078742	7.7431568629490055	US
INTELIQUENT, INC.	US311786871	18.200000000000006	1	NASDAQ National Market	Industrial company	5.296774846740312	5.753922242907022	5.3955360621184365	US
INTELLI-CHECK - MOBILISA, INC.	US113234779	0.55	4	NYSE MKT	Industrial company	4.266560939286841	4.224688417457288	3.846089580357984	US
INTELLIA THERAPEUTICS INC	US262866476L	0.0	102	NASDAQ National Market	Industrial company		6.026079939977086	2.8756399370041685	US
INTELLIGENT SYSTEMS CORP	US581964787	0.0	109	NYSE MKT	Industrial company	4.417870098076645	4.472566312473966	3.679700380871964	US
INTER PARFUMS INC	US133275609	10.45	5	NASDAQ National Market	Industrial company	5.837373762913333	5.960930515234233	5.670747600121703	US
INTERACTIVE BROKERS GROUP, INC.	US300390693	15.08	2	NASDAQ National Market	Financial company	7.687832067874056	6.408275080672539	6.098989985176901	US
INTERACTIVE INTELLIGENCE GROUP, INC.	US451505676	15.28	2	NASDAQ National Market	Industrial company	5.69331707697273	5.956021879405368	5.592024561052954	US
INTERCEPT PHARMACEUTICALS, INC.	US223868459	10.26	4	NASDAQ National Market	Industrial company	5.816744259801491	6.542436129651963	3.444513206334043	US
INTERCLOUD SYSTEMS INC	US650908171	2.59	6	NASDAQ National Market	Industrial company		4.327461109303142	5.051156382825619	US
INTERDIGITAL, INC.	USM46560	7.09	3	NASDAQ National Market	Industrial company	6.1686406533533225	6.301342141193595	5.644867747864636	US
INTERFACE INC	US581451243	22.8	1	NASDAQ National Market	Industrial company	5.878837635606425	6.045228675782998	6.000808771373302	US
INTERLINK ELECTRONICS INC	US770056625	0.0	101	NASDAQ National Market	Industrial company	3.878694100396108	4.869208243719084	4.0218092770223395	US
INTERMOLECULAR, INC.	US201616267	1.67	12	NASDAQ National Market	Industrial company	4.843095676422261	4.954541587078606	4.656318648771342	US
INTERNAP CORPORATION	US912145721	11.07	3	NASDAQ National Market	Industrial company	5.7439892620637005	5.101152260588222	5.502828452031461	US
INTERNATIONAL BANCSHARES CORP	US742157138	16.39	1	NASDAQ National Market	Bank		6.269268876868065	5.54406928518988	US
INTERNATIONAL BUSINESS MACHINES CORP	US130871985	16.599999999999998	1	New York Stock Exchange (NYSE)	Industrial company	8.043342630172937	8.166490996655385	7.91243995177678	US
INTERNATIONAL FLAVORS & FRAGRANCES INC	US131432060	19.38	1	New York Stock Exchange (NYSE)	Industrial company	6.570712771851377	7.013266795065329	6.480465442367544	US
INTERNATIONAL PAPER CO	US130872805	20.91	1	New York Stock Exchange (NYSE)	Industrial company	7.485536897285414	7.238204955563367	7.349568921927164	US
INTERNATIONAL SPEEDWAY CORP	US590709342	13.639999999999995	2	NASDAQ National Market	Industrial company	6.326267023895333	5.943531612369708	5.809809446312786	US
INTERPACE DIAGNOSTICS GROUP, INC.	US222919486	1.25	8	NASDAQ National Market	Industrial company	4.830672055483784	3.803320523578754	3.974649834438722	US
INTERPUBLIC GROUP OF COMPANIES INC	US131024020	19.33	1	New York Stock Exchange (NYSE)	Industrial company	7.099856705269098	6.979595170372319	6.8816015215811435	US
INTERSECT ENT, INC.	US200280837	7.500000000000001	4	NASDAQ National Market	Industrial company	5.160276402608965	5.569796292580545	4.789538408693583	US
INTERSECTIONS INC.	US541956515	3.4799999999999995	9	NASDAQ National Market	Industrial company	4.8452903278527915	4.7486530934242674	5.309263843116061	US
INTERSIL CORP	US593590018	18.72	1	NASDAQ National Market	Industrial company	6.056378426556425	6.258021076530022	5.717351737029618	US
INTERVAL LEISURE GROUP, INC.	US262590997	18.51	2	NASDAQ National Market	Industrial company	6.106907215177524	5.9162227897360875	5.843504983575639	US
INTEST CORP	US222370659	5.35	5	NYSE MKT	Industrial company	4.601897100353281	4.596740004472237	4.58983794314746	US
INTEVAC INC	US943125814	3.51	10	NASDAQ National Market	Industrial company	4.9898145430342025	5.006003689781164	4.875992549656173	US
INTL FCSTONE INC.	US592921318	15.48	1	NASDAQ National Market	Financial company	6.705008044992988	5.722219994041483	7.54024437226932	US
INTRA-CELLULAR THERAPIES, INC.	US364742850	13.28	4	NASDAQ National Market	Industrial company	5.684939568204194	6.207870163233297	1.9637878273455553	US
INTRALINKS HOLDINGS, INC.	US208915510	10.18	5	New York Stock Exchange (NYSE)	Industrial company	5.662935289687403	5.6570510698518905	5.4411513382182015	US
INTRAWEST RESORTS HOLDINGS, INC.	US463681098	5.75	3	New York Stock Exchange (NYSE)	Industrial company	6.039412532709378	5.623639979647811	5.769074396066867	US
INTREPID POTASH, INC.	US261501877	13.18	3	New York Stock Exchange (NYSE)	Industrial company	5.806159615952903	4.988451930678073	5.458160240217634	US
INTREXON CORPORATION	US260084895	5.88	5	New York Stock Exchange (NYSE)	Industrial company	5.992132273277982	6.54989828619052	5.2395647307590325	US
INTRICON CORPORATION	US231069060	0.45	12	NASDAQ National Market	Industrial company	4.622079256754113	4.564310909960603	4.843481943039958	US
INTUIT INC	US770034661	17.38	1	NASDAQ National Market	Industrial company	6.696181674586889	7.441002712785276	6.6224213775764404	US
INTUITIVE SURGICAL INC	US770416458	15.65	2	NASDAQ National Market	Industrial company	6.6908426971963	7.384373721365902	6.377379295297345	US
INUVO INC	US870450450	4.4	3	NYSE MKT	Industrial company	4.458396087426252	4.631677088876387	4.847813181798864	US
INVACARE CORP	US952680965	21.26	1	New York Stock Exchange (NYSE)	Industrial company	5.923318640387772	5.522558986856117	6.057795004069084	US
INVENSENSE, INC.	US010789977	11.89	1	New York Stock Exchange (NYSE)	Industrial company	5.79411284380947	5.752083036268033	5.621587523884477	US
INVENTERGY GLOBAL, INC.	US621482176	0.29	13	NASDAQ National Market	Industrial company	4.578375573946839	3.835563751669097	2.8573324964312685	US
INVENTURE FOODS, INC.	US860786101	10.9	2	NASDAQ National Market	Industrial company	5.328448921908231	5.164706691352855	5.4511091448955975	US
INVESCO LTD	BM40671R	17.85	1	New York Stock Exchange (NYSE)	Bank		7.118033956181437	6.875061321297627	BM
INVESCO MORTGAGE CAPITAL INC	US262749336	17.6	1	New York Stock Exchange (NYSE)	Financial company	7.224463393800876	6.201695565068584	5.809220226292497	US
INVESTAR HOLDING CORPORATION	US271560715	0.0	120	NASDAQ National Market	Bank	6.013492809459759	5.048581625417041	4.599915806604957	US
INVESTMENT TECHNOLOGY GROUP, INC.	US952848406	20.34	1	New York Stock Exchange (NYSE)	Financial company	6.23274790748719	5.793097194916478	5.802639654649374	US
INVESTORS BANCORP INC	US223493930	16.07	1	NASDAQ National Market	Bank		6.583094893727247	5.875061842450624	US
INVESTORS REAL ESTATE TRUST	US450311232	20.64	1	New York Stock Exchange (NYSE)	Industrial company	6.30056026939623	5.878164907006078	5.452079447067003	US
INVESTORS TITLE COMPANY	US561110199	2.14	13	NASDAQ National Market	Insurance company	5.325357597384812	5.259402728142589	5.051893086594691	US
INVITAE CORPORATION	US271701898	13.33	3	New York Stock Exchange (NYSE)	Industrial company	5.195005247226612	5.483600133069305	3.9231921904206675	US
INVIVO THERAPEUTICS HOLDINGS CORP.	US364528166	0.0	100	NASDAQ National Market	Industrial company	4.338317018854097	5.3286792244210375	0.0	US
INVUITY, INC.	US043803169	1.92	13	NASDAQ National Market	Industrial company	4.821552829294525	4.895803629675395	4.322880573098306	US
ION GEOPHYSICAL CORPORATION	US222286646	10.14	3	New York Stock Exchange (NYSE)	Industrial company	5.6385781035186655	4.938074194780388	5.345401179455731	US
IONIS PHARMACEUTICALS, INC.	US330336973	15.9	1	NASDAQ National Market	Industrial company	5.976762981432091	6.424527362573285	5.452865459044641	US
IPASS INC.	US931214598	0.41	18	NASDAQ National Market	Industrial company	4.577997033811073	4.907131774350255	4.796331448901513	US
IPG PHOTONICS CORPORATION	US043444218	10.87	5	NASDAQ National Market	Industrial company	6.162394120147866	6.661880142599958	5.954852987741389	US
IRADIMED CORPORATION	US731408526	2.35	5	NASDAQ National Market	Industrial company	4.547097514903894	5.316613966879422	4.499618359700007	US
IRIDEX CORP	US770210467	0.23	18	NASDAQ National Market	Industrial company	4.62142556590045	5.150593740783732	4.620739689951964	US
IRIDIUM COMMUNICATIONS INC.	US221344998	19.68	1	NASDAQ National Market	Industrial company	6.487304563876789	5.918605867515008	5.614242118139214	US
IROBOT CORPORATION	US770259335	18.63	1	NASDAQ National Market	Industrial company	5.717457463426281	6.023853880482406	5.790129578500457	US
IRON MOUNTAIN INC	US232588479	31.0	1	New York Stock Exchange (NYSE)	Industrial company	6.802813938415264	6.892085693994352	6.478274511171176	US
IRONWOOD PHARMACEUTICALS, INC.	US043404176	15.079999999999998	1	NASDAQ National Market	Industrial company	5.791776236590589	6.2015503294983265	5.174803841069247	US
ISLE OF CAPRI CASINOS INC	US411659606	8.73	3	NASDAQ National Market	Industrial company	6.089114541295496	5.819570913603556	5.998380976167452	US
ISORAY INC	US411458152	1.97	3	NYSE MKT	Industrial company	4.3618033589256875	4.695665512255935	3.6635124704151556	US
ISRAMCO INC	US133145265	2.67	4	NASDAQ National Market	Industrial company	5.167193232880807	5.41962866600821	4.8204116570730955	US
ISSUER DIRECT CORPORATION	US742418590	0.0	108	NYSE MKT	Industrial company	4.048092051812373	4.2230024392104095	4.065243501186464	US
ISTAR INC	US956881527	16.47	1	New York Stock Exchange (NYSE)	Bank		5.881746323090173	5.875061842450624	US
ITC HOLDINGS CORP.	US320058047	14.1	1	New York Stock Exchange (NYSE)	Industrial company	6.878253035732502	6.833005512656759	6.019020277896663	US
ITERIS, INC.	US952588496	4.23	3	NASDAQ National Market	Industrial company	4.849007652460662	4.889492189917091	4.858849873254773	US
ITRON INC	US911011792	21.7	1	NASDAQ National Market	Industrial company		6.219393006749972	6.477121399484465	US
ITT CORPORATION	US135158950	16.700000000000006	1	New York Stock Exchange (NYSE)	Industrial company	6.570963138264733	6.490904463358876	6.395431414971087	US
ITT EDUCATIONAL SERVICES, INC.	US362061311	2.06	13	New York Stock Exchange (NYSE)	Industrial company	5.8221778901265235	4.721093066030189	5.929330525017482	US
ITUS CORPORATION	US112622630	0.0	109	NASDAQ National Market	Industrial company	3.9702073588068547	4.442573829884634	3.966423345943693	US
IXIA	US954635982	16.34	1	NASDAQ National Market	Industrial company	5.892026669266328	5.923227952546786	5.713438458234095	US
IXYS CORP	US770140882	10.24	2	NASDAQ National Market	Industrial company	5.57270435501341	5.539891204534791	5.52990238017173	US
IZEA, INC.	US371530765	0.0	110	NASDAQ National Market	Industrial company	4.333245698961963	4.5557472140872095	4.311096625999569	US
J & J SNACK FOODS CORP.	US221935537	15.73	2	NASDAQ National Market	Industrial company	5.870951403203379	6.2944029512395225	5.989564160893525	US
J. ALEXANDER'S HOLDINGS, INC.	US471608715	17.580000000000002	1	New York Stock Exchange (NYSE)	Industrial company	5.1936643469744475	5.1852814432675	5.338287125579051	US
J. C. PENNEY COMPANY, INC.	US260037077	23.21	1	New York Stock Exchange (NYSE)	Industrial company	6.97506404209126	6.382396749054346	7.101231421190261	US
J. M. SMUCKER COMPANY (THE)	US340538550	19.06	1	New York Stock Exchange (NYSE)	Industrial company	7.227439356562601	7.18936691386537	6.755318373788675	US
J.B. HUNT TRANSPORT SERVICES, INC.	US710335111	15.81	1	NASDAQ National Market	Industrial company	6.5598521852635026	6.966302650110776	6.79152552960312	US
J.G. WENTWORTH COMPANY (THE)	US463037859	3.1100000000000003	4	New York Stock Exchange (NYSE)	Financial company	6.705433051440565	3.9559281568969507	5.470961463031776	US
J.W. MAYS, INC.	US111059070	0.0	108	NASDAQ National Market	Financial company	4.822410013411183	5.03603772495907	4.2767144946302915	US
J2 GLOBAL, INC.	US510371142	18.55	1	NASDAQ National Market	Industrial company	6.251326681879384	6.513475435821513	5.857824418141081	US
JABIL CIRCUIT INC	US381886260	17.62	1	New York Stock Exchange (NYSE)	Industrial company	6.982416335536079	6.560898745164517	7.25283354794685	US
JACK IN THE BOX INC	US952698708	23.1	1	NASDAQ National Market	Industrial company	6.115270930386509	6.440929222791554	6.187610390569092	US
JACKSONVILLE BANCORP INC	US364670835	0.0	100	NASDAQ National Market	Bank	5.489456431648675	4.671033920344041	4.15124723746237	US
JACOBS ENGINEERING GROUP INC	US954081636	18.14	1	New York Stock Exchange (NYSE)	Industrial company	6.8913103275036685	6.786364429641383	7.083317431871927	US
JAGUAR ANIMAL HEALTH, INC.	US462956775	0.0	108	NASDAQ National Market	Industrial company	4.093631776828948	4.142639707832417	2.413299764081252	US
JAKKS PACIFIC INC	US954527222	10.87	5	NASDAQ National Market	Industrial company	5.698640684290665	5.18337235355981	5.872588603134347	US
JAMBA, INC.	US202122262	10.75	5	NASDAQ National Market	Industrial company	4.84271530433296	5.239802318695986	5.208648242024235	US
JASON INDUSTRIES, INC.	US462888322	0.83	28	NASDAQ National Market	Financial company	5.843290721702743	4.944369148529006	5.850258320937396	US
JETBLUE AIRWAYS CORPORATION	US870617894	16.8	1	NASDAQ National Market	Industrial company	6.936714808453505	6.769327467980439	6.807264422965392	US
JETPAY CORPORATION	US900632274	0.0	116	NASDAQ National Market	Financial company	5.172573743771971	4.540692278250743	4.636718522707071	US
JIVE SOFTWARE, INC.	US421515522	8.680000000000001	3	NASDAQ National Market	Industrial company	5.37133759548821	5.463982525009707	5.291799378954263	US
JMP GROUP LLC	US*S00178047	0.0	128	New York Stock Exchange (NYSE)	Industrial company		5.05815640487046		US
JOHN BEAN TECHNOLOGIES CORP	US911650317	20.08	1	New York Stock Exchange (NYSE)	Industrial company	5.942554176047295	6.248805479658509	6.044265692125458	US
JOHN HANCOCK HEDGED EQUITY & INCOME FUND	US*S00138046	0.0	105	New York Stock Exchange (NYSE)	Industrial company		5.278209248962765		US
JOHN WILEY & SONS, INC.	US135593032	17.0	3	New York Stock Exchange (NYSE)	Industrial company	6.477735202483328	6.411585365041862	6.260653477297724	US
JOHNSON & JOHNSON	US221024240	18.13	1	New York Stock Exchange (NYSE)	Industrial company	8.125191642748504	8.49274340373076	7.845556915019123	US
JOHNSON CONTROLS INC	US390380010	15.12	1	New York Stock Exchange (NYSE)	Industrial company	7.472361471218493	7.456261592489687	7.5702977160970875	US
JOHNSON OUTDOORS INC	US391536083	5.2200000000000015	5	NASDAQ National Market	Industrial company	5.475968846726734	5.349415469354029	5.633963067531228	US
JOINT CORP. (THE)	US900544160	0.0	110	NASDAQ National Market	Industrial company	4.523265095468888	4.584319914468133	4.141010553342324	US
JONES ENERGY, INC.	US800907968	5.880000000000001	5	New York Stock Exchange (NYSE)	Industrial company	6.286715756408539	5.279792378645196	5.295347148333618	US
JONES LANG LASALLE INC	US364150422	19.78	1	New York Stock Exchange (NYSE)	Financial company	6.791487205624761	6.721780370122433	6.775659371636505	US
JOY GLOBAL INC	US391566457	20.16	1	New York Stock Exchange (NYSE)	Industrial company	6.569660262252045	6.212338382323636	6.501353441597607	US
JP ENERGY PARTNERS LP	US272504700	0.0	128	New York Stock Exchange (NYSE)	Industrial company	5.866440939898299	5.141158055326633	5.832883011193405	US
JUNIPER NETWORKS INC	US770422528	18.28	1	New York Stock Exchange (NYSE)	Industrial company	6.93489726350343	6.946563084396809	6.686439719943778	US
JUNIPER PHARMACEUTICALS, INC.	US592758596	9.21	1	NASDAQ National Market	Industrial company	4.710794099930327	4.87301817642006	4.574714020754261	US
JUNO THERAPEUTICS, INC.	US463656275	7.89	6	NASDAQ National Market	Industrial company	6.15990661628813	6.647061825620775	4.2604530176070865	US
K12 INC.	US954774688	12.47	1	New York Stock Exchange (NYSE)	Industrial company	5.850401147997158	5.6679140875006375	5.976943460695134	US
K2M GROUP HOLDINGS, INC.	US272977810	5.02	3	NASDAQ National Market	Industrial company	5.573466897416727	5.715497764540759	5.33446983583388	US
KADANT INC	US521762325	11.89	1	New York Stock Exchange (NYSE)	Industrial company	5.618569982885462	5.726419916435274	5.591184856541554	US
KAISER ALUMINUM CORP	US943030279	20.480000000000004	1	NASDAQ National Market	Industrial company	6.096945102584594	6.186521541032517	6.143608346853061	US
KAMAN CORP	US060613548	18.65	1	New York Stock Exchange (NYSE)	Industrial company	6.1582454580920585	6.060051204533821	6.2492291850883515	US
KANDI TECHNOLOGIES GROUP, INC.	US900363723	0.0	111	NASDAQ National Market	Industrial company	5.569923745793637	5.516645090452733	5.3033472779245825	US
KANSAS CITY SOUTHERN	US440663509	19.04	1	New York Stock Exchange (NYSE)	Industrial company	6.921218173262383	7.00358154036858	6.38360013948343	US
KAPSTONE PAPER AND PACKAGING CORPORATION	US202699372	17.36	1	New York Stock Exchange (NYSE)	Industrial company	6.508140497553446	6.167841716681789	6.4455023889776335	US
KAR AUCTION SERVICES, INC.	US208744739	11.79	1	New York Stock Exchange (NYSE)	Industrial company	6.7612887752429005	6.75301204983382	6.4215382842204685	US
KARYOPHARM THERAPEUTICS INC.	US263931704	7.52	5	NASDAQ National Market	Industrial company	5.333334403724105	5.5390007810803175	2.399673721481038	US
KATE SPADE & COMPANY	US132842791	15.87	1	New York Stock Exchange (NYSE)	Industrial company	5.989270901328189	6.453297542348519	6.0943736372812225	US
KB HOME	US953666267	21.31	1	New York Stock Exchange (NYSE)	Industrial company	6.700303151026547	6.064473339019237	6.481733637283273	US
KBR, INC.	US204536774	17.16	1	New York Stock Exchange (NYSE)	Industrial company	6.5330091497798986	6.317636556283746	6.7072295045499075	US
KCG HOLDINGS INC	US383898306	8.26	4	New York Stock Exchange (NYSE)	Bank		6.087860534515604	6.477121399484465	US
KEARNY FINANCIAL CORP.	US223803741	7.65	1	NASDAQ National Market	Bank	6.627077733661425	6.086553084313438	4.947188565526093	US
KELLOGG COMPANY	US380710690	12.53	3	New York Stock Exchange (NYSE)	Industrial company	7.183696837085022	7.4162258327545185	7.131137305889103	US
KELLY SERVICES INC	US381510762	0.0	101	NASDAQ National Market	Industrial company	6.287712399352731	5.835490179199435	6.74179751557068	US
KEMET CORP	US570923789	3.16	10	New York Stock Exchange (NYSE)	Industrial company	5.84667414726149	5.101141938716288	5.866183332306267	US
KEMPER CORPORATION	US954255452	12.05	2	New York Stock Exchange (NYSE)	Insurance company	6.905045386446922	6.218439130512616		US
KEMPHARM, INC.	US205894398	3.46	7	NASDAQ National Market	Industrial company	4.746042283551939	4.953068328479611	0.0	US
KENNAMETAL INC	US250900168	15.97	1	New York Stock Exchange (NYSE)	Industrial company	6.454773233608805	6.2884365892568965	6.422786097919083	US
KENNEDY-WILSON HOLDINGS, INC.	US260508760	12.54	3	New York Stock Exchange (NYSE)	Industrial company	6.880562142998955	6.376281791995495	5.780821895240789	US
KENTUCKY FIRST FEDERAL BANCORP	US611484858	0.0	104	NASDAQ National Market	Bank	4.837853478976071	4.86783268376667		US
KERYX BIOPHARMACEUTICALS, INC.	US134087132	14.759999999999998	2	NASDAQ National Market	Industrial company	5.4127729254800885	5.792470135609743	4.136117842896476	US
KEWAUNEE SCIENTIFIC CORP	US380715562	0.77	16	NASDAQ National Market	Industrial company	4.841928561375192	4.649957614842373	5.074922442354038	US
KEY ENERGY SERVICES INC	US042648081	9.04	3	New York Stock Exchange (NYSE)	Industrial company	6.123132337232542	4.691125715378636	5.8989044555621	US
KEY TECHNOLOGY INC	US930822509	2.16	13	NASDAQ National Market	Industrial company	4.989213917467285	4.756072909743057	5.012525095172775	US
KEY TRONIC CORP	US910849125	4.09	4	NASDAQ National Market	Industrial company	5.363226395922467	4.927996199444937	5.63748772815084	US
KEYCORP	US346542451	23.28	1	New York Stock Exchange (NYSE)	Bank	7.9783311969168675	7.035420331704501	6.6255183318362585	US
KEYSIGHT TECHNOLOGIES, INC.	US464254555	17.41	1	New York Stock Exchange (NYSE)	Industrial company	6.545059708495149	6.721206055558965	6.455758355168005	US
KEYW HOLDING CORPORATION, THE	US271594952	8.47	4	NASDAQ National Market	Industrial company	5.656487262922501	5.544121397252155	5.493891432068457	US
KFORCE INC.	US593264661	17.16	1	NASDAQ National Market	Industrial company	5.546324227522167	5.715050191317644	6.120323481655895	US
KILROY REALTY CORP	US954598246	28.45000000000001	1	New York Stock Exchange (NYSE)	Financial company	6.772793232381151	6.763142912982623	5.764382391969395	US
KIMBALL ELECTRONICS, INC.	US352047713	10.59	1	NASDAQ National Market	Industrial company	5.68417905220312	5.507430810454012	5.913469988094153	US
KIMBALL INTERNATIONAL INC	US350514506	7.6	1	NASDAQ National Market	Industrial company	5.425093833965443	5.635220275350768	5.778779798494471	US
KIMBERLY CLARK CORP	US390394230	17.78	1	New York Stock Exchange (NYSE)	Industrial company	7.171492456514083	7.665190776173066	7.26930277422981	US
KIMCO REALTY CORP	US132744380	30.42	1	New York Stock Exchange (NYSE)	Financial company	7.054772802648987	7.071747060616231	6.066985254009898	US
KINDER MORGAN, INC.	US260238387	13.23	1	New York Stock Exchange (NYSE)	Industrial company	7.9248166565695	7.600246025470732	7.158452990841885	US
KINDRED BIOSCIENCES, INC.	US461160142	2.6100000000000003	10	NASDAQ National Market	Industrial company	4.901022173248079	4.9006620209939635	0.0	US
KINDRED HEALTHCARE, INC.	US611323993	19.75	1	New York Stock Exchange (NYSE)	Industrial company	6.813929351789448	6.00284700266831	6.848491354681032	US
KINGOLD JEWELRY, INC.	US133883101	0.0	104	NASDAQ National Market	Industrial company	5.671743809859148	5.017963569931243	6.000070350007872	US
KINGSTONE COMPANIES INC	US127387325L	1.08	19	NASDAQ National Market	Insurance company		4.8496527766938495	4.795886966000197	US
KIRBY CORP	US741884980	17.14	1	New York Stock Exchange (NYSE)	Industrial company	6.618703439005939	6.575278505987519	6.331939846127396	US
KIRKLAND'S, INC.	US621287151	16.81	1	NASDAQ National Market	Industrial company	5.377644956094042	5.343688185493428	5.749587919150213	US
KITE PHARMA, INC.	US271524986	12.239999999999998	2	NASDAQ National Market	Industrial company	5.850011174358057	6.370678301021735	4.237015628745162	US
KITE REALTY GROUP TRUST	US113715772	23.85	1	New York Stock Exchange (NYSE)	Financial company	6.574775184683931	6.354430389497229	5.540336984140624	US
KLA TENCOR CORP	US042564110	18.97	1	NASDAQ National Market	Industrial company	6.683588487448577	7.055575401299371	6.4493318097054	US
KLR ENERGY ACQUISITION CORP.	US475500436	0.0	108	NASDAQ National Market	Industrial company	2.342422680822206	5.120412685900034	0.0	US
KLX INC.	US471639172	21.1	1	NASDAQ National Market	Industrial company	6.567144162858736	6.240122731454966	6.195180119511361	US
KMG CHEMICALS INC	US752640529	7.81	4	New York Stock Exchange (NYSE)	Industrial company	5.384460943824492	5.406977660728345	5.505826678799736	US
KNIGHT TRANSPORTATION INC	US860649974	14.5	1	New York Stock Exchange (NYSE)	Industrial company	6.049308362036353	6.318530576482902	6.072971895488685	US
KNOLL, INC.	US133873847	16.04	1	New York Stock Exchange (NYSE)	Industrial company	5.932517394875023	6.084314550063734	6.043143306966846	US
KNOWLES CORPORATION	US901002689	18.78	2	New York Stock Exchange (NYSE)	Financial company	6.22955411997545	6.099654403130174	6.035270000518284	US
KOHLS CORPORATION	US391630919	20.5	1	New York Stock Exchange (NYSE)	Industrial company	7.133730498543883	6.825195601383139	7.28339171991192	US
KONA GRILL, INC.	US200216690	6.22	7	NASDAQ National Market	Industrial company	5.007939712514268	5.137436404277114	5.155408919933597	US
KOPIN CORP	US042833935	14.96	1	NASDAQ National Market	Industrial company	5.025555717563182	5.135708147569607	4.505895781219751	US
KOPPERS HOLDINGS INC.	US201878963	22.07	1	New York Stock Exchange (NYSE)	Industrial company	6.0513072967201325	5.716254660595372	6.211361126101057	US
KORN/FERRY INTERNATIONAL	US952623879	17.4	1	New York Stock Exchange (NYSE)	Industrial company	6.119850162331494	6.215156215860947	6.027784500015041	US
KOSS CORP	US391168275	0.34	10	NASDAQ National Market	Industrial company	4.350790547426457	4.190471770573345	4.3843713376009905	US
KRAFT HEINZ COMPANY (THE)	US462078182	7.369999999999999	3	NASDAQ National Market	Industrial company	8.089809771571069	8.009713577251631	7.263351992076327	US
KRATON PERFORMANCE POLYMERS, INC.	US200411521	22.06	1	New York Stock Exchange (NYSE)	Industrial company	6.038501340527286	5.921120744173961	6.0147838077266575	US
KRATOS DEFENSE & SECURITY SOLUTIONS, INC.	US133818604	8.86	4	NASDAQ National Market	Industrial company	5.955832491018696	5.3990087940719125	5.817632128116023	US
KRISPY KREME DOUGHNUTS INC	US562169715	14.329999999999998	2	New York Stock Exchange (NYSE)	Industrial company	5.535137087237008	6.123854253256865	5.714928806935241	US
KROGER CO	US310345740	16.71	1	New York Stock Exchange (NYSE)	Industrial company	7.5301612761745895	7.532241047867601	8.040720987555437	US
KRONOS WORLDWIDE, INC.	US760294959	2.75	4	New York Stock Exchange (NYSE)	Industrial company	6.094366647812522	5.827439064773161	6.129947879266374	US
KULICKE & SOFFA INDUSTRIES INC	US231498399	17.139999999999993	1	NASDAQ National Market	Industrial company	5.95639272600031	5.942956013169954	5.729547059828854	US
KURA ONCOLOGY, INC.	US611547851	1.05	13	NASDAQ National Market	Industrial company	4.940815208650801	4.818371074186973	0.0	US
KVH INDUSTRIES INC	US050420589	10.97	1	NASDAQ National Market	Industrial company	5.354642331493144	5.145864276807892	5.266314030742256	US
