C	METRO_ID	Metropolitan areas	LABOUR_PRODUCTIVITY	UNEMP_R	GDP_PC
IT	IT008	Bari	0.7960037649543219	1.5255787367819376	0.6949408311647588
IT	IT008	Bari	0.8099142385460603	1.433751836072765	0.6876336974090143
IT	IT008	Bari	0.8193275340780524	1.2229673594448913	0.711566851945371
IT	IT008	Bari	0.7959431623787797	0.9161820320756096	0.7161300134112455
IT	IT008	Bari	0.7848556318745652	1.0163568328492527	0.7077781732243846
IT	IT008	Bari	0.7737326737340623	1.1342709212598947	0.6706679819456168
IT	IT008	Bari	0.7798086656253111	1.1593146214533054	0.6741156452424385
IT	IT008	Bari		1.2678373222914188	0.672174683711252
IT	IT008	Bari	0.7636615814022156	1.6695800128940494	0.6525954852062708
IT	IT009	Bologna	1.144196014999536	0.32869856503851597	1.3296167614834196
IT	IT009	Bologna	1.150106542572303	0.34643785267551525	1.3063394871160796
IT	IT009	Bologna	1.1209085871187605	0.29113301474839987	1.2915654098976814
IT	IT009	Bologna	1.100887912141707	0.23791515183740203	1.273551818223857
IT	IT009	Bologna	1.093628393569979	0.30887230238539914	1.2756393820481586
IT	IT009	Bologna	1.095818917820606	0.2963504522886938	1.2800073379381558
IT	IT009	Bologna	1.0834961911033312	0.3078288148773404	1.3256532166037986
IT	IT009	Bologna	1.09729682887139	0.25461095196634254	1.313973900585643
IT	IT009	Bologna		0.22643678924875546	1.2765691839792659
IT	IT009	Bologna	1.0271559967076436	0.35478575273998547	1.2053806953323125
IT	IT009	Bologna		0.5123523664568614	1.2708287136477818
IT	IT009	Bologna	1.1086885903955372	0.48626517875539194	1.303267970964115
IT	IT009	Bologna	1.0957351705428466	0.7137454555122061	1.2591866425365255
IT	IT010	Catania	0.841445646937605	2.587849019985777	0.6231125753936174
IT	IT010	Catania	0.8453690800108113	2.404195218567431	0.6250250089110085
IT	IT010	Catania	0.8329858522298466	2.3029769302857295	0.6235185712936492
IT	IT010	Catania	0.8242318761754863	2.2988029802534946	0.6315795842287631
IT	IT010	Catania	0.8363167606239246	1.534970124354467	0.6247899169454728
IT	IT010	Catania		1.5902749622815822	0.6420181957950977
IT	IT010	Catania	0.835127650791595	1.2751417348478302	0.644499868847016
IT	IT010	Catania	0.8485883253678772	1.2031410967917744	0.6418758198743969
IT	IT010	Catania	0.844292343798457	1.2490545471463608	0.6456613288160726
IT	IT010	Catania	0.8121610003626004	1.1728799590580699	0.611109941885781
IT	IT010	Catania	0.8139702460977558	1.242793622098008	0.601920487516096
IT	IT010	Catania	0.798373153087872	1.2939245099928884	0.5866978865252489
IT	IT010	Catania	0.7802789700348368	1.710276025708342	0.565290517802883
IT	IT011	Venice	0.9789066014383146	0.5133958539649202	1.0666817186317972
IT	IT011	Venice	0.9436800601283277	0.5321786291099783	1.0624062146383588
IT	IT011	Venice	0.948155717675486	0.46852589111839266	1.043283464354103
IT	IT011	Venice	0.9519324661227988	0.4163515157154536	1.0527180483238072
IT	IT011	Venice		0.5207002665213317	1.0736473086668252
IT	IT011	Venice	0.9716426163451064	0.4580910160378048	1.0785287688051386
IT	IT011	Venice	1.015762001922756	0.5227872415374493	1.121251582649863
IT	IT011	Venice	1.0297349053033693	0.31826368995792814	1.1219082552637076
IT	IT011	Venice	0.9618401243732002	0.3673076028366909	1.066272288804179
IT	IT011	Venice	0.9484085836983931	0.5655702293678593	1.0215939852730942
IT	IT011	Venice	0.9567835144980223	0.672005955189855	1.0260438271286152
IT	IT011	Venice	0.9616022821043639	0.5540918667792126	1.031439583960072
IT	IT011	Venice	0.9418285854628113	0.8796599692935523	0.9989564780299425
IT	ITA	Italy	0.9375657982689392	1.1060967585423078	0.9255174460724682
IT	ITA	Italy	0.9380957916473406	0.980878257575254	0.941310607339222
IT	ITA	Italy	0.9292545154004069	0.947486657317373	0.9432267389324756
IT	ITA	Italy	0.9300579817076368	0.9224429571239623	0.9423024841151616
IT	ITA	Italy	0.9397784521032646	0.8347900064470247	0.9511382439434397
IT	ITA	Italy	0.9468263184639282	0.8066158437294377	0.9538848577160687
IT	ITA	Italy	0.9509443497570915	0.7074845304638535	0.9698489229173186
IT	ITA	Italy	0.9591966542397109	0.6344404048997387	0.9814492586009854
IT	ITA	Italy		0.7012236054155008	0.9640400381823809
IT	ITA	Italy	0.9048358394428446	0.8087028187455552	0.905827569439892
IT	ITA	Italy	0.9273323884860174	0.8723555567371408	0.9183717069132878
IT	ITA	Italy	0.9298312042306498	0.8723555567371408	0.9210448874652215
IT	ITA	Italy		1.1113141960826016	0.895083074170085
IT	ITA	Italy		1.2678373222914188	0.8755918370409727
