C	METRO_ID	Metropolitan areas	LABOUR_PRODUCTIVITY	UNEMP_R	GDP_PC
ES	ES008	Las Palmas	0.8745482127718236	0.9497017946296047	0.9193514025196011
ES	ES008	Las Palmas	0.8536110987918574	0.902679800296856	0.9356540755356829
ES	ES008	Las Palmas		0.8414087167723655	0.9437230434336886
ES	ES008	Las Palmas	0.9073609724416061	1.3315773849682906	0.9350210049160255
ES	ES008	Las Palmas	0.9673654279402907	1.9713614896775067	0.8847830957425377
ES	ES008	Las Palmas		2.149475104574282	0.8599753114603711
ES	ES008	Las Palmas	0.9844987826143063	2.2000593712049654	0.8440608123536505
ES	ES008	Las Palmas	0.9979008898782504	2.4408689785454056	0.814589260565354
ES	ES019	Bilbao	1.1599664353597376	1.0038483335582242	1.087982669636798
ES	ES019	Bilbao	1.1531605244889351	0.8528079881257591	1.0923816583543473
ES	ES019	Bilbao		0.8121980839292944	1.1114930694137743
ES	ES019	Bilbao		0.8157603562272298	1.1405985384908033
ES	ES019	Bilbao		0.8285845364997977	1.1624486269367642
ES	ES019	Bilbao	1.1532452321698614	0.6020240183510996	1.2029329565633275
ES	ES019	Bilbao	1.1435155143968476	0.5628390230738093	1.2279632307691524
ES	ES019	Bilbao	1.18530172060383	0.511542301983538	1.2582976016372809
ES	ES019	Bilbao	1.215690170306817	0.5450276615841317	1.2932626032143988
ES	ES019	Bilbao	1.2729454042175004	0.8720442585346108	1.252957843469483
ES	ES019	Bilbao	1.2628172024243538	0.8513830792065848	1.2589761170073026
ES	ES019	Bilbao	1.2644323485658364	0.9867494265281339	1.236082061657141
ES	ES019	Bilbao	1.285261688923591	1.164150586965322	1.2007317264675597
ES	ESP	Spain		0.9824746997706112	0.9434645764159921
ES	ESP	Spain		0.7373903656726488	0.9764997540453508
ES	ESP	Spain	1.0234737278050032	0.7943867224396168	0.9955691918283999
ES	ESP	Spain	1.0163163927368049	0.803648630414249	1.0078380120725672
ES	ESP	Spain	1.0138374668630583	0.7901119956820942	1.0221682566874235
ES	ESP	Spain	0.98653455077704	0.6518958305221968	1.0418855977517072
ES	ESP	Spain	0.9899794623642619	0.6020240183510996	1.067775535151922
ES	ESP	Spain	0.9953042481662213	0.5863500202401836	1.0888527472531466
ES	ESP	Spain	1.011829139216681	0.8015112670354878	1.07968490004425
ES	ESP	Spain	1.0452580511571143	1.272443664822561	1.0282578532362312
ES	ESP	Spain	1.0667520617999473	1.4149345567399811	1.0229278783133033
ES	ESP	Spain	1.0776071058693373	1.5239400890568076	1.012676931220726
ES	ESP	Spain	1.1022925678710176	1.7661746053164216	0.988325803562011
ES	ESP	Spain	1.1200965581597542	1.8587936850627447	0.9780568679224143
ES	EST	Estonia		1.0401835109971664	0.45463054499800964
ES	EST	Estonia	0.48173735369221876	0.9261907974632304	0.4855156178757605
ES	EST	Estonia	0.5110300386212815	0.7979489947375523	0.5187306809753109
ES	EST	Estonia	0.5373529173284437	0.7338280933747133	0.560843131901382
ES	EST	Estonia	0.5731186477342463	0.7195790041829713	0.6010879298229006
ES	EST	Estonia	0.6134526275804323	0.5699635676696803	0.6616181281882557
ES	EST	Estonia		0.4203481311563892	0.7349321873019061
ES	EST	Estonia	0.6841721407462246	0.3277290514100661	0.7975837718613474
ES	EST	Estonia		0.3918499527729052	0.757617638624354
ES	EST	Estonia	0.6114905643795061	0.9618135204425854	0.6472626364898637
ES	EST	Estonia	0.655209404827844	1.1897989475104573	0.664512390727078
ES	EST	Estonia	0.6679754753889947	0.8763189852921334	0.7214073246518383
ES	EST	Estonia	0.6857381060588751	0.7124544595871003	0.7574866693785126
ES	EST	Estonia	0.68973381641644	0.6127108352449062	0.7727712537510179
